Gorgie Road 259 - 545 Odd & 394 - 496 Even	1503434/gorgie-road-259-545-odd-394-496-even	tuesday-2
Gorgie Road Only 570	1503435/gorgie-road-only-570	friday-2
Gracemount Drive All Except 2 - 20	1503439/gracemount-drive-all-except-2-20	thursday-2
Juniper Park Road Grey & Green Bin Thu_1 Only & Glass Box Wed_1	1503842/juniper-park-road-grey-green-bin-thu-1-only-glass-box-wed-1	thursday-1
Kingsknowe Road North (203 only)	1506313/kingsknowe-road-north-203-only-	tuesday-2
Lanark Road 2 - 464 Even & 27 - 121 Odd	1503946/lanark-road-2-464-even-27-121-odd	tuesday-2
Lanark Road 293 - 601 Odd & 476 - 632 Even	1503947/lanark-road-293-601-odd-476-632-even	wednesday-1
Lasswade Road 1 - 79 Odd & 4 - 136 Even	1503962/lasswade-road-1-79-odd-4-136-even	thursday-2
Lasswade Road 217 - 297 Odd & 248 - 328 Even	1503963/lasswade-road-217-297-odd-248-328-even	thursday-1
Mayfield Gardens 1 - 39 Odd	1504216/mayfield-gardens-1-39-odd	wednesday-1
Mayfield Gardens 2 - 32 Even	1504217/mayfield-gardens-2-32-even	tuesday-2
Mayfield Road 103 - 205 Odd	1504218/mayfield-road-103-205-odd	thursday-2
Mayfield Road 2 - 182 Even & 1 - 101 Odd	1504219/mayfield-road-2-182-even-1-101-odd	tuesday-2
Moira Terrace 48 & 125 Only	1504300/moira-terrace-48-125-only	wednesday-1
Moira Terrace All Except 48 & 125	1504301/moira-terrace-all-except-48-125	wednesday-2
Morton Street 3 - 15 Odd & 2 - 8 Even	1504345/morton-street-3-15-odd-2-8-even	friday-1
Morton Street 31 - 63 Odd & 12 - 40	1504346/morton-street-31-63-odd-12-40	friday-2
Newington Road All Except 76 & 86	1504457/newington-road-all-except-76-86	wednesday-1
Northfield Broadway All Except 84	1504535/northfield-broadway-all-except-84	friday-2
Northfield Broadway Only 84	1504536/northfield-broadway-only-84	wednesday-2
Old Church Lane All Except 3 & 5	1504573/old-church-lane-all-except-3-5	wednesday-1
Old Dalkeith Road 13 -89 Odd & 42 -140  Even	1504574/old-dalkeith-road-13-89-odd-42-140-even	friday-1
Old Dalkeith Road 139 - 217 Odd & 164 - 700	1504575/old-dalkeith-road-139-217-odd-164-700	thursday-1
Pilton Drive 1 - 91 Odd	1504756/pilton-drive-1-91-odd	tuesday-2
Pilton Drive 2 - 100 Even	1504757/pilton-drive-2-100-even	tuesday-1
Pilton Drive North Even Numbers	1504758/pilton-drive-north-even-numbers	tuesday-1
Pilton Drive North Odd Numbers	1504759/pilton-drive-north-odd-numbers	tuesday-2
Pinkhill Park Only 1	1504768/pinkhill-park-only-1	friday-1
Queensferry Road 385 - 555 Odd & 568 - 634	1504853/queensferry-road-385-555-odd-568-634	friday-1
Queensferry Road 534 - 554 Even & 559 - 599 Odd	1504854/queensferry-road-534-554-even-559-599-odd	thursday-2
Queensferry Road Only 1	1504857/queensferry-road-only-1	wednesday-1
Redford Road 111 - 171 Odd	1504920/redford-road-111-171-odd	wednesday-1
Redford Road 47 - 87 Odd & 4 - 80 Even	1504921/redford-road-47-87-odd-4-80-even	wednesday-2
Restalrig Road South 137 -161 Odd & 178 - 198 Even	1504955/restalrig-road-south-137-161-odd-178-198-even	wednesday-1
Restalrig Road South 7 - 135 Odd & 50 - 174 Even	1504956/restalrig-road-south-7-135-odd-50-174-even	wednesday-2
Saughton Mains Street All Except 98 Flat 1	1505072/saughton-mains-street-all-except-98-flat-1	thursday-2
Saughton Mains Street Only 98 Flat 1	1505073/saughton-mains-street-only-98-flat-1	thursday-1
Saughton Road 41 - 67 Odd	1505076/saughton-road-41-67-odd	thursday-2
Saughton Road 8 - 40 Even	1505077/saughton-road-8-40-even	thursday-2
Sighthill Court 2 - 22 Even	1505134/sighthill-court-2-22-even	thursday-2
Sighthill Court Only 1A	1505135/sighthill-court-only-1a	wednesday-2
Silverknowes Road 7 - 63 Odd & 26 -120 Even	1505166/silverknowes-road-7-63-odd-26-120-even	tuesday-1
Silverknowes Road Only 1, 3, 5	1505168/silverknowes-road-only-1-3-5	friday-1
Slateford Road 104 -122 Even	1505179/slateford-road-104-122-even	tuesday-2
Slateford Road Only 201 -207 Odd	1505180/slateford-road-only-201-207-odd	tuesday-2
Slateford Road Only 62 - 100 Even	1505181/slateford-road-only-62-100-even	tuesday-1
Sleigh Drive Even Numbers	1505183/sleigh-drive-even-numbers	wednesday-2
Sleigh Drive Odd Numbers	1505184/sleigh-drive-odd-numbers	wednesday-1
South Oswald Road All Except 71 - 75	1505218/south-oswald-road-all-except-71-75	tuesday-2
